,me_change
1126,677395.0625
1127,675853.25
1128,674378.375
1129,672881.5
1130,671256.75
1131,669828.5
1132,668415.375
1133,666683.8125
1134,665424.6875
1135,664182.25
1136,662688.25
1137,660969.3125
1138,659070.25
1139,657171.0625
1140,655275.375
1141,653793.25
1142,652534.5
1143,651003.6875
1144,648978.625
1145,647324.0
1146,645544.625
1147,643632.125
1148,642737.625
1149,640609.0
1150,638702.25
1151,637213.25
1152,635839.3125
1153,634350.5625
1154,632700.25
1155,630901.5
1156,628964.625
1157,627768.8125
1158,626141.0625
1159,623938.5625
1160,622572.5
1161,621263.75
1162,619289.9375
1163,613857.875
1164,605060.25
1165,598810.625
1166,594656.375
1167,594292.75
1168,594975.8125
1169,594427.5
1170,592306.375
1171,588675.875
1172,583759.25
1173,577932.9375
1174,574306.6875
1175,571398.9375
1176,569858.0625
1177,568452.5
1178,565911.75
1179,562157.6875
1180,558080.0
1181,554648.9375
1182,552104.3125
1183,549964.625
1184,547857.75
1185,545637.5625
1186,543117.625
1187,540392.375
1188,537767.125
1189,535723.625
1190,533837.0
1191,531963.4375
1192,530066.4375
1193,528041.4375
1194,525875.8125
1195,523664.84375
1196,521507.1875
1197,519470.34375
1198,517537.8125
1199,515633.65625
1200,513735.46875
1201,511781.125
1202,509780.96875
1203,507806.375
1204,505957.3125
1205,504108.3125
1206,502306.3125
1207,500541.3125
1208,498783.03125
1209,496997.90625
1210,495191.4375
1211,493387.4375
1212,491616.8125
1213,489876.0
1214,488163.3125
1215,486475.8125
1216,484809.875
1217,483144.28125
1218,481486.53125
1219,479834.1875
1220,478207.65625
1221,476597.5
1222,474996.875
1223,473402.21875
1224,471810.5625
1225,470223.9375
1226,468646.9375
1227,467090.03125
1228,465544.5
1229,464002.4375
1230,462465.46875
1231,460935.9375
1232,459415.5
1233,457904.5
1234,456392.46875
1235,454889.375
1236,453351.0625
1237,451813.53125
1238,450275.9375
1239,448742.625
1240,447206.28125
1241,445691.53125
1242,444197.125
1243,442716.625
1244,441243.0625
1245,439776.875
1246,438324.84375
1247,436884.6875
1248,435452.21875
1249,434028.1875
1250,432619.9375
1251,431223.6875
1252,429835.40625
1253,428452.96875
1254,427077.21875
1255,425708.875
1256,424347.375
1257,422992.84375
1258,421644.3125
1259,420303.75
1260,418969.65625
1261,417642.5
1262,416322.15625
1263,415007.3125
1264,413700.8125
1265,412400.0
1266,411108.9375
1267,409869.0625
1268,408648.46875
1269,407436.15625
1270,406234.8125
1271,405043.5
1272,403861.625
1273,402689.9375
1274,401526.75
1275,400369.78125
1276,399220.1875
1277,398078.9375
1278,396944.65625
1279,395817.125
1280,394719.78125
1281,393632.125
1282,392553.34375
1283,391480.375
1284,390415.8125
1285,389370.3125
1286,388336.8125
1287,387312.125
1288,386349.375
1289,385383.4375
1290,384422.625
1291,383480.34375
1292,382576.8125
1293,381704.03125
1294,380847.4375
1295,379997.46875
1296,379168.15625
1297,378401.125
1298,377641.6875
1299,376892.09375
1300,376158.25
1301,375455.1875
1302,374760.96875
1303,374074.1875
1304,373395.46875
1305,372721.03125
1306,372049.25
1307,371381.625
1308,370718.8125
1309,370058.34375
1310,369402.03125
1311,368751.4375
1312,368104.75
1313,367465.25
1314,366829.59375
1315,366217.75
1316,365611.0625
1317,365006.28125
1318,364404.3125
1319,363803.5625
1320,363205.25
1321,362610.15625
1322,362017.46875
1323,361427.3125
1324,360838.6875
1325,360252.90625
1326,359670.21875
